,num1(100),num1(10),num1(1),num2(100),num2(10),num2(1),+/-
189,4,3,7,7,3,2,0
190,4,7,4,8,4,6,0
191,7,9,3,7,6,1,0
192,5,6,0,3,5,3,0
193,5,1,6,2,6,5,0
194,3,6,5,2,2,5,0
195,7,9,6,4,4,8,0
196,2,9,3,7,8,0,0
197,5,2,2,3,1,8,0
198,9,0,1,0,7,2,0
199,5,7,8,5,9,6,0
200,5,3,4,2,9,2,0
201,2,7,3,7,5,3,0
202,8,6,3,3,8,7,0
203,0,5,0,1,6,7,0
204,1,7,5,0,1,1,0
205,1,9,7,5,3,1,0
206,1,4,4,1,3,2,0
207,0,5,6,2,9,6,0
208,8,4,6,2,1,8,0
209,4,7,8,3,8,7,0
210,6,5,8,4,9,3,0
211,2,3,2,0,0,6,0
212,4,0,3,0,8,3,0
213,3,9,2,0,3,8,0
214,5,3,2,1,9,8,0
215,3,1,5,1,7,2,0
216,0,6,6,7,6,2,0
217,6,9,9,9,1,2,0
218,5,6,8,2,4,1,0
219,7,3,7,8,1,5,0
220,0,6,2,1,8,0,0
221,3,9,6,4,3,1,0
222,5,6,4,1,9,0,0
223,1,5,9,0,4,9,0
224,5,5,5,3,2,1,0
225,0,1,5,4,8,7,0
226,9,6,7,3,0,4,0
227,0,8,4,4,7,5,0
228,9,4,5,4,9,9,0
229,0,8,2,5,2,1,0
230,3,5,8,8,3,6,0
231,7,9,4,3,4,8,0
232,3,5,7,9,3,8,0
233,3,3,8,8,9,7,0
234,1,9,4,7,0,7,0
235,6,7,6,4,5,8,0
236,6,5,6,0,9,0,0
237,5,3,0,3,7,2,0
238,2,9,1,3,5,3,0
239,2,5,6,7,8,1,0
240,0,4,5,5,7,9,0
241,3,7,7,7,7,1,0
242,0,3,6,9,3,2,0
243,5,8,7,2,8,5,0
244,5,2,9,5,3,1,0
245,0,7,5,7,4,1,0
246,1,6,2,3,1,1,0
247,5,2,3,6,1,1,0
248,9,9,5,5,2,5,0
249,6,9,8,6,4,1,0
250,3,4,3,5,7,6,0
251,6,0,8,1,6,5,0
252,4,1,4,7,3,9,0
253,4,3,8,2,6,7,0
254,4,5,2,4,3,2,0
255,0,9,1,5,6,6,0
256,6,5,3,5,7,5,0
257,9,0,4,7,7,9,0
258,7,7,0,4,7,3,0
259,9,3,7,3,1,0,0
260,7,2,3,9,2,4,0
261,9,4,6,5,1,5,0
262,5,9,2,6,1,2,0
263,2,9,4,3,4,8,0
264,5,3,2,5,8,2,0
265,8,4,0,2,2,3,0
266,7,8,5,2,4,7,0
267,7,9,3,2,3,7,0
268,7,9,8,5,4,6,0
269,1,2,1,2,5,1,0
270,8,0,8,3,0,8,0
271,3,3,4,5,2,8,0
272,8,3,2,3,0,4,0
273,1,5,3,6,1,2,0
274,2,5,8,3,1,0,0
275,9,6,4,7,8,9,0
276,6,1,3,9,6,8,0
277,8,2,1,8,8,2,0
278,7,1,2,8,7,3,0
279,7,0,4,5,4,1,0
280,7,5,0,6,6,5,0
281,8,4,7,5,9,0,0
282,0,3,0,4,1,0,0
283,3,9,5,2,4,5,0
284,0,2,4,7,2,9,0
285,1,9,1,9,0,8,0
286,9,6,2,1,0,9,0
287,4,6,8,3,4,8,0
288,8,4,2,3,8,3,0
289,9,8,0,6,6,1,0
290,8,3,2,2,3,1,0
291,5,9,3,5,6,6,0
292,4,5,0,3,5,4,0
293,3,2,1,1,4,2,0
294,6,6,4,8,5,9,0
295,9,9,8,4,9,8,0
296,0,2,4,0,9,1,0
297,0,6,1,1,3,9,0
298,0,2,2,7,7,6,0
299,0,2,8,1,9,5,0
300,0,0,6,9,5,2,0
301,7,4,7,3,7,1,0
302,9,6,2,0,6,1,0
303,5,1,1,2,6,7,0
304,6,9,2,9,7,4,0
305,6,9,8,5,8,8,0
306,3,2,4,6,4,2,0
307,6,3,8,6,4,4,0
308,1,9,6,1,6,6,0
309,1,0,4,8,2,2,0
310,9,2,2,1,5,9,0
311,9,5,4,5,4,3,0
312,1,4,8,9,6,8,0
313,9,0,4,5,2,8,0
314,1,0,7,0,6,2,0
315,6,3,4,7,7,7,0
316,2,8,6,7,7,1,0
317,8,2,8,7,2,1,0
318,2,1,7,3,2,2,0
319,9,0,4,0,3,4,0
320,9,2,1,7,6,5,0
321,0,3,2,3,4,6,0
322,6,1,7,1,5,0,0
323,1,7,4,3,2,9,0
324,9,1,1,3,5,0,0
325,4,6,5,8,5,1,0
326,0,7,6,2,0,9,0
327,5,7,5,4,2,0,0
328,8,1,8,6,7,0,0
329,0,5,9,0,2,9,0
330,7,7,1,7,8,3,0
331,2,0,2,5,6,9,0
332,4,7,0,8,2,5,0
333,0,3,1,0,4,5,0
334,7,4,8,8,0,8,0
335,1,6,3,3,6,7,0
336,3,1,8,0,5,6,0
337,8,3,0,0,2,7,0
338,9,0,6,2,0,7,0
339,5,8,5,4,3,4,0
340,2,6,3,6,0,7,0
341,6,9,2,5,2,2,0
342,2,7,4,1,7,8,0
343,1,9,2,2,3,3,0
344,2,0,8,1,7,3,0
345,4,3,6,3,7,1,0
346,8,0,5,6,1,4,0
347,9,2,8,8,4,1,0
348,1,9,6,0,4,9,0
349,6,6,6,9,4,2,0
350,5,8,7,7,5,3,0
351,6,7,7,0,0,8,0
352,8,7,9,5,2,8,0
353,6,2,1,1,6,0,0
354,4,7,1,7,8,1,0
355,7,7,5,4,9,2,0
356,8,3,1,0,5,9,0
357,2,2,8,0,7,6,0
358,1,1,1,6,5,4,0
359,4,1,5,4,2,6,0
360,4,4,0,8,8,0,0
361,7,6,4,3,1,9,0
362,5,8,9,1,5,3,0
363,0,4,7,0,4,8,0
364,6,6,5,7,2,9,0
365,5,4,0,3,1,9,0
366,7,1,5,1,0,9,0
367,6,6,9,0,4,1,0
368,1,3,3,0,1,0,0
369,7,6,6,7,3,2,0
370,1,6,0,7,8,9,0
371,7,2,6,2,0,5,0
372,7,1,2,6,6,6,0
373,7,4,5,0,5,9,0
374,6,3,6,1,4,5,0
375,2,8,3,4,9,6,0
376,9,9,7,6,5,6,0
377,3,6,8,7,0,4,0
378,0,2,6,2,0,1,0
379,4,1,3,3,5,0,0
380,6,7,9,8,1,3,0
381,0,0,4,8,7,3,0
382,5,9,7,1,4,5,0
383,1,2,3,7,0,0,0
384,3,4,1,0,2,3,0
385,8,7,5,7,6,7,0
386,9,0,8,9,3,2,0
387,5,7,7,7,0,7,0
388,6,1,6,3,3,4,0
389,0,0,6,1,8,1,0
390,7,8,4,3,0,1,0
391,6,7,2,7,1,4,0
392,3,1,3,8,9,2,0
393,8,6,5,8,4,9,0
394,8,7,4,3,0,8,0
395,6,2,4,8,9,3,0
396,2,8,4,4,6,6,0
397,5,4,5,2,7,9,0
398,1,9,5,4,1,0,0
399,2,4,9,1,5,0,0
400,1,2,9,3,8,6,0
401,2,8,4,1,5,0,0
402,6,1,3,3,1,2,0
403,7,8,5,6,1,8,0
404,2,5,5,3,1,6,0
405,8,7,4,4,4,4,0
406,0,5,5,2,4,4,0
407,4,6,8,8,5,3,0
408,4,2,3,9,6,3,0
409,6,7,2,5,4,9,0
410,2,9,3,4,2,4,0
411,9,4,6,3,3,4,0
412,7,1,9,9,3,0,0
413,0,9,5,8,9,2,0
414,8,2,7,9,4,6,0
415,0,9,5,1,3,3,0
416,9,1,1,2,3,7,0
417,8,8,4,3,6,2,0
418,1,1,8,0,5,6,0
419,8,4,5,2,8,6,0
420,6,0,3,5,6,5,0
421,7,2,6,1,3,7,0
422,5,6,9,9,6,3,0
423,4,5,7,0,3,6,0
424,4,0,2,3,3,2,0
425,7,6,4,4,1,5,0
426,7,0,6,7,0,5,0
427,0,9,7,9,3,2,0
428,0,5,7,4,4,1,0
429,6,8,1,5,9,0,0
430,8,7,4,7,4,1,0
431,7,9,4,5,8,9,0
432,2,1,0,4,1,3,0
433,7,3,0,4,6,7,0
434,0,2,8,5,2,3,0
435,3,3,3,7,5,0,0
436,4,5,6,2,1,1,0
437,7,6,4,3,7,3,0
438,3,1,3,8,4,1,0
439,6,1,6,0,2,4,0
440,1,3,7,2,2,0,0
441,8,9,7,2,7,8,0
442,5,6,7,3,2,9,0
443,4,6,7,2,0,9,0
444,5,1,2,4,8,6,0
445,9,8,2,4,0,6,0
446,9,8,7,1,3,8,0
447,5,7,2,2,2,7,0
448,2,0,5,7,3,5,0
449,2,0,9,9,5,6,0
450,9,8,5,8,3,9,0
451,1,6,1,0,1,9,0
452,0,5,7,4,4,7,0
453,3,2,3,7,1,9,0
454,3,5,4,2,8,8,0
455,2,8,1,2,4,3,0
456,0,9,7,8,5,4,0
457,4,0,2,7,7,5,0
458,1,0,5,7,4,5,0
459,8,6,1,1,4,9,0
460,6,7,0,3,7,4,0
461,1,7,5,7,4,7,0
462,4,4,3,2,2,9,0
463,5,8,0,1,1,3,0
464,7,1,7,9,6,1,0
465,9,8,1,4,5,3,0
466,5,7,9,4,3,4,0
467,0,7,6,5,2,3,0
468,7,2,6,9,2,6,0
469,6,8,8,3,4,3,0
470,5,9,5,3,9,5,0
471,4,7,5,3,6,4,0
472,0,2,4,1,0,8,0
473,3,8,4,8,8,2,0
474,6,9,2,6,7,4,0
475,4,3,2,7,7,2,0
476,2,8,5,3,7,2,0
477,2,0,3,8,7,2,0
478,9,1,0,4,0,9,0
479,6,7,0,4,9,2,0
480,5,5,4,8,2,1,0
481,2,4,3,0,2,0,0
482,9,1,9,8,9,4,0
483,1,9,5,5,2,8,0
484,9,8,2,8,3,4,0
485,3,2,2,7,9,1,0
486,9,9,0,1,0,3,0
487,0,0,5,4,3,8,0
488,1,9,8,5,5,0,0
489,3,5,3,5,7,1,0
490,0,5,6,2,8,9,0
491,5,1,5,6,4,4,0
492,8,3,4,5,1,3,0
493,8,7,6,8,4,0,0
494,6,1,0,8,6,1,0
495,0,9,4,1,9,4,0
496,9,3,1,8,9,4,0
497,5,9,3,1,2,5,0
498,7,2,3,4,9,4,0
499,7,9,3,7,4,4,0
500,0,5,1,7,1,0,0
501,0,9,4,5,1,5,0
502,7,3,4,8,6,7,0
503,2,0,1,9,9,9,0
504,2,0,5,4,5,6,0
505,5,9,5,4,1,4,0
506,8,0,3,1,4,7,0
507,2,9,2,8,2,4,0
508,4,6,7,3,0,3,0
509,5,5,2,3,2,9,0
510,6,6,2,1,4,7,0
511,5,5,5,3,3,2,0
512,5,2,4,0,6,5,0
513,1,0,1,4,3,3,0
514,5,6,5,9,6,2,0
515,6,3,8,1,8,6,0
516,3,1,4,2,9,3,0
517,7,0,0,3,9,1,0
518,2,9,6,6,9,5,0
519,2,4,8,9,9,3,0
520,2,5,2,3,4,6,0
521,0,7,4,9,2,3,0
522,0,9,1,5,0,0,0
523,3,6,2,7,7,1,0
524,0,0,0,0,4,4,0
525,7,7,2,6,4,4,0
526,1,4,9,6,2,2,0
527,9,2,5,0,3,6,0
528,6,4,1,9,1,6,0
529,4,2,7,4,0,1,0
530,9,8,2,8,1,7,0
531,8,7,0,4,5,8,0
532,8,8,0,7,9,6,0
533,6,6,6,3,2,8,0
534,9,2,6,6,7,5,0
535,4,6,5,5,6,1,0
536,1,2,1,1,7,6,0
537,0,5,5,7,7,7,0
538,6,8,0,0,7,3,0
539,6,8,2,6,5,0,0
540,4,7,0,2,9,8,0
541,6,9,9,8,1,3,0
542,7,0,5,3,5,4,0
543,9,3,4,1,3,7,0
544,8,8,8,1,2,1,0
545,5,0,8,2,5,5,0
546,6,8,2,4,5,6,0
547,3,8,9,7,2,7,0
548,3,1,8,2,4,6,0
549,6,7,4,2,2,9,0
550,6,3,7,4,7,7,0
551,7,9,8,0,2,7,0
552,8,3,6,1,2,4,0
553,9,5,6,4,8,9,0
554,3,6,3,2,3,5,0
555,0,1,4,9,9,4,0
556,7,4,9,0,3,8,0
557,6,0,5,9,3,6,0
558,6,2,0,7,6,3,0
559,8,5,5,6,7,9,0
560,6,8,6,6,6,9,0
561,1,6,4,4,5,7,0
562,4,1,7,3,8,7,0
563,4,9,2,8,0,7,0
564,6,9,9,2,2,7,0
565,2,1,5,8,7,4,0
566,2,6,3,6,1,9,0
567,9,8,2,0,9,9,0
568,3,7,8,0,7,7,0
569,7,1,2,6,2,7,0
570,4,0,9,9,1,3,0
571,9,2,4,8,1,5,0
572,2,9,1,9,5,4,0
573,5,2,2,0,0,8,0
574,5,7,6,2,9,9,0
575,3,8,4,2,0,7,0
576,5,5,3,5,7,1,0
577,7,3,2,1,1,7,0
578,5,5,0,4,2,8,0
579,5,7,6,2,5,1,0
580,9,1,3,4,9,6,0
581,8,3,4,6,0,5,0
582,8,0,7,0,6,9,0
583,5,1,8,2,4,9,0
584,4,6,8,5,8,3,0
585,9,9,2,3,7,0,0
586,6,4,9,7,6,9,0
587,3,2,1,0,9,3,0
588,8,8,9,3,6,0,0
589,3,0,1,7,8,2,0
590,7,5,2,4,0,3,0
591,2,9,0,5,4,6,0
592,3,6,9,9,4,4,0
593,9,1,4,2,5,9,0
594,6,1,1,1,8,7,0
595,2,5,9,4,9,3,0
596,5,5,4,4,6,4,0
597,9,5,9,3,0,5,0
598,4,7,0,2,2,9,0
599,6,3,3,5,2,6,0
600,8,1,5,6,7,8,0
601,9,7,2,0,6,1,0
602,2,9,8,2,3,4,0
603,5,6,3,6,2,5,0
604,0,7,6,1,7,1,0
605,5,6,6,0,2,6,0
606,6,6,8,7,8,3,0
607,0,2,5,4,2,0,0
608,7,6,8,8,0,5,0
609,0,8,8,7,9,9,0
610,5,7,1,7,2,6,0
611,5,8,3,1,0,8,0
612,7,7,0,4,0,9,0
613,8,0,5,1,1,3,0
614,4,3,7,8,4,5,0
615,5,1,1,3,5,8,0
616,5,1,2,9,6,5,0
617,7,8,2,2,2,6,0
618,1,9,7,3,8,7,0
619,9,0,3,5,1,6,0
620,9,4,6,2,9,0,0
621,0,6,0,1,4,9,0
622,2,6,2,9,1,2,0
623,6,1,0,3,2,2,0
624,9,5,7,2,5,1,0
625,1,0,3,9,9,0,0
626,7,4,4,9,0,8,0
627,7,3,6,8,9,6,0
628,5,2,8,2,1,0,0
629,2,1,5,7,8,5,0
630,7,9,0,2,4,4,0
631,9,0,6,6,6,9,0
632,0,6,0,6,9,4,0
633,6,0,8,2,1,6,0
634,0,2,6,3,8,2,0
635,7,1,8,3,0,8,0
636,4,4,6,0,2,7,0
637,5,7,8,5,0,8,0
638,6,4,7,2,3,7,0
639,8,5,8,2,0,7,0
640,0,2,4,9,7,2,0
641,6,3,8,5,9,6,0
642,5,1,3,8,1,6,0
643,2,7,4,4,1,9,0
644,7,5,4,3,3,2,0
645,1,3,5,9,5,7,0
646,1,8,5,6,3,2,0
647,3,3,5,6,2,4,0
648,2,7,6,3,8,4,0
649,9,2,6,7,6,9,0
650,2,5,2,3,5,1,0
651,2,7,7,2,4,2,0
652,4,4,2,0,5,6,0
653,6,2,4,5,4,3,0
654,1,8,1,8,3,6,0
655,8,4,3,4,2,1,0
656,3,1,0,6,9,3,0
657,7,7,5,0,9,3,0
658,1,8,2,2,3,8,0
659,5,8,0,0,9,4,0
660,3,6,2,0,8,6,0
661,1,7,9,6,3,1,0
662,8,8,6,6,2,4,0
663,8,5,3,8,1,2,0
664,4,8,9,3,6,4,0
665,1,6,5,2,0,6,0
666,6,4,2,7,1,0,0
667,2,2,3,0,4,3,0
668,1,0,1,6,2,6,0
669,2,0,0,5,5,3,0
670,6,7,5,8,2,1,0
671,5,7,0,3,5,5,0
672,5,0,9,4,0,2,0
673,4,0,0,5,6,6,0
674,6,6,7,9,1,6,0
675,7,8,9,0,6,1,0
676,3,3,4,5,7,6,0
677,5,7,5,0,5,6,0
678,5,2,6,6,6,2,0
679,8,8,1,9,4,8,0
680,6,8,6,5,8,5,0
681,9,1,8,8,2,8,0
682,3,4,8,6,3,7,0
683,6,2,7,0,2,2,0
684,1,2,4,2,5,8,0
685,4,2,0,3,8,8,0
686,4,6,5,5,0,2,0
687,3,3,7,4,2,2,0
688,5,7,5,2,2,9,0
689,8,8,8,5,0,1,0
690,9,2,5,8,5,4,0
691,6,4,6,4,4,0,0
692,7,7,1,2,6,0,0
693,3,4,6,7,7,3,0
694,4,9,1,2,4,9,0
695,9,0,7,2,4,2,0
696,7,0,1,7,4,1,0
697,9,1,5,2,4,3,0
698,9,5,1,7,7,2,0
699,2,0,1,5,4,2,0
700,6,4,2,5,2,7,0
701,4,2,5,7,7,6,0
702,1,0,6,5,1,9,0
703,9,1,7,4,9,5,0
704,9,1,9,7,5,4,0
705,5,1,1,1,9,8,0
706,3,6,5,3,3,8,0
707,6,1,6,0,4,3,0
708,7,1,5,1,3,7,0
709,4,4,8,1,2,8,0
710,0,3,5,3,6,0,0
711,0,8,1,9,1,9,0
712,1,7,2,9,5,7,0
713,0,1,1,3,3,4,0
714,6,7,9,6,8,0,0
715,1,1,7,3,5,8,0
716,8,6,2,8,2,0,0
717,7,6,2,7,2,6,0
718,2,6,6,7,3,4,0
719,3,3,4,6,3,3,0
720,0,3,3,7,2,2,0
721,3,9,1,1,5,5,0
722,2,0,6,9,7,8,0
723,2,9,1,3,3,4,0
724,8,5,0,4,3,4,0
725,5,5,1,8,2,0,0
726,3,2,7,1,9,0,0
727,8,0,5,9,9,6,0
728,9,1,2,0,4,8,0
729,3,8,8,7,9,2,0
730,6,4,4,5,6,9,0
731,0,0,2,6,2,0,0
732,8,1,8,4,4,0,0
733,6,5,4,8,0,7,0
734,0,9,8,5,5,3,0
735,5,1,6,3,8,7,0
736,2,1,5,4,4,2,0
737,9,9,2,3,5,8,0
738,2,5,8,2,4,7,0
739,0,3,4,8,7,3,0
740,3,4,5,2,5,9,0
741,3,0,5,1,3,9,0
742,0,2,6,3,8,3,0
743,0,0,5,0,4,7,0
744,8,4,9,6,3,0,0
745,5,2,9,2,5,3,0
746,9,6,4,2,0,4,0
747,5,0,6,3,4,1,0
748,6,3,0,7,5,7,0
749,0,8,7,9,0,2,0
750,5,5,6,1,3,1,0
751,4,2,5,5,0,3,0
752,8,1,6,2,7,3,0
753,6,0,2,0,4,5,0
754,5,2,6,0,3,8,0
755,4,0,3,9,9,3,0
756,0,4,8,2,3,5,0
757,7,5,2,5,0,2,0
758,8,6,8,8,7,1,0
759,5,4,8,8,3,3,0
760,7,1,1,0,0,6,0
761,1,0,1,8,6,8,0
762,0,5,9,3,5,4,0
763,9,2,2,5,6,6,0
764,3,7,5,9,0,5,0
765,2,3,5,9,7,7,0
766,7,1,7,6,3,9,0
767,2,3,6,9,5,6,0
768,0,7,3,8,4,6,0
769,3,7,8,3,1,9,0
770,2,7,5,7,2,3,0
771,6,3,3,4,3,2,0
772,8,2,1,8,0,4,0
773,2,4,8,7,9,8,0
774,3,2,8,9,9,2,0
775,5,9,0,3,7,5,0
776,4,2,8,2,4,2,0
777,8,6,1,1,9,0,0
778,8,5,2,8,4,7,0
779,3,2,8,2,3,5,0
780,6,5,9,6,5,0,0
781,8,2,7,6,2,4,0
782,0,3,1,8,1,3,0
783,3,6,9,6,0,5,0
784,8,3,9,2,4,9,0
785,5,6,8,6,5,6,0
786,1,9,5,8,3,3,0
787,8,2,4,1,7,5,0
788,0,6,7,4,0,7,0
789,3,3,8,8,6,4,0
790,0,5,1,5,8,0,0
791,9,0,5,3,9,0,0
792,6,5,0,4,7,0,0
793,3,1,1,2,1,2,0
794,3,2,5,7,9,7,0
795,0,8,4,5,3,6,0
796,7,5,1,3,8,0,0
797,7,2,4,5,1,0,0
798,2,3,1,0,8,1,0
799,3,5,9,0,9,3,0
800,2,8,4,3,0,0,0
801,1,2,3,9,6,0,0
802,2,8,8,7,2,4,0
803,9,9,0,2,5,4,0
804,5,2,6,5,4,5,0
805,4,2,7,8,8,3,0
806,2,6,0,4,8,3,0
807,6,3,5,1,7,7,0
808,3,6,1,3,2,9,0
809,1,8,3,0,1,4,0
810,3,4,0,2,1,1,0
811,4,7,2,5,7,6,0
812,0,3,3,1,9,0,0
813,4,8,3,0,0,5,0
814,8,9,0,1,0,0,0
815,5,1,7,8,8,6,0
816,6,9,2,4,1,2,0
817,7,2,0,3,4,2,0
818,1,0,2,5,7,3,0
819,3,8,5,5,1,7,0
820,7,1,3,7,2,6,0
821,5,0,0,2,3,2,0
822,1,5,5,2,9,1,0
823,8,8,9,2,6,0,0
824,7,1,1,4,0,1,0
825,7,0,8,0,3,9,0
826,6,9,8,4,3,5,0
827,0,6,6,1,9,9,0
828,2,4,1,6,2,3,0
829,1,6,2,5,8,8,0
830,0,3,3,6,5,2,0
831,9,9,2,5,8,0,0
832,3,3,4,5,3,2,0
833,9,4,9,3,9,1,0
834,9,4,2,9,3,7,0
835,1,0,5,4,4,4,0
836,0,2,1,0,0,9,0
837,4,6,4,7,6,6,0
838,4,0,8,6,5,5,0
839,2,8,2,2,1,3,0
840,2,4,1,7,8,3,0
841,6,0,0,6,6,1,0
842,7,7,8,2,9,9,0
843,4,3,9,0,2,2,0
844,4,3,7,3,7,2,0
845,5,1,0,3,7,8,0
846,2,8,4,6,6,3,0
847,0,2,2,5,2,6,0
848,3,7,4,7,6,9,0
849,9,0,2,4,3,7,0
850,2,4,8,7,2,5,0
851,3,2,3,7,4,4,0
852,8,1,5,3,0,7,0
853,5,0,3,6,7,7,0
854,6,9,1,6,9,2,0
855,3,0,3,4,7,4,0
856,0,2,3,1,3,7,0
857,7,3,4,4,6,1,0
858,3,4,9,0,5,0,0
859,6,0,5,6,2,4,0
860,3,5,5,6,4,4,0
861,8,3,6,1,2,0,0
862,5,6,5,8,1,7,0
863,2,4,6,0,6,5,0
864,8,1,8,5,9,0,0
865,9,2,7,3,4,7,0
866,6,0,2,1,4,2,0
867,6,8,4,2,6,2,0
868,4,9,1,1,7,9,0
869,5,0,8,5,6,4,0
