,ans(1000),ans(100),ans(10),ans(1),+/-
223,0,2,0,8,0
224,0,8,7,6,0
225,0,5,0,2,0
226,1,2,7,1,0
227,0,5,5,9,0
228,1,4,4,4,0
229,0,6,0,3,0
230,1,1,9,4,0
231,1,1,4,2,0
232,1,2,9,5,0
233,1,2,3,5,0
234,0,9,0,1,0
235,1,1,3,4,0
236,0,7,4,6,0
237,0,9,0,2,0
238,0,6,4,4,0
239,1,0,3,7,0
240,0,6,2,4,0
241,1,1,4,8,0
242,0,9,6,8,0
243,0,8,7,2,0
244,1,0,6,0,0
245,0,8,1,6,0
246,0,4,7,3,0
247,1,1,3,4,0
248,1,5,2,0,0
249,1,3,3,9,0
250,0,9,1,9,0
251,0,7,7,3,0
252,1,1,5,3,0
253,0,7,0,5,0
254,0,8,8,4,0
255,0,6,5,7,0
256,1,2,2,8,0
257,1,6,8,3,0
258,1,2,4,3,0
259,1,2,4,7,0
260,1,6,4,7,0
261,1,4,6,1,0
262,1,2,0,4,0
263,0,6,4,2,0
264,1,1,1,4,0
265,1,0,6,3,0
266,1,0,3,2,0
267,1,0,3,0,0
268,1,3,4,4,0
269,0,3,7,2,0
270,1,1,1,6,0
271,0,8,6,2,0
272,1,1,3,6,0
273,0,7,6,5,0
274,0,5,6,8,0
275,1,7,5,3,0
276,1,5,8,1,0
277,1,7,0,3,0
278,1,5,8,5,0
279,1,2,4,5,0
280,1,4,1,5,0
281,1,4,3,7,0
282,0,4,4,0,0
283,0,6,4,0,0
284,0,7,5,3,0
285,1,0,9,9,0
286,1,0,7,1,0
287,0,8,1,6,0
288,1,2,2,5,0
289,1,6,4,1,0
290,1,0,6,3,0
291,1,1,5,9,0
292,0,8,0,4,0
293,0,4,6,3,0
294,1,5,2,3,0
295,1,4,9,6,0
296,0,1,1,5,0
297,0,2,0,0,0
298,0,7,9,8,0
299,0,2,2,3,0
300,0,9,5,8,0
301,1,1,1,8,0
302,1,0,2,3,0
303,0,7,7,8,0
304,1,6,6,6,0
305,1,2,8,6,0
306,0,9,6,6,0
307,1,2,8,2,0
308,0,3,6,2,0
309,0,9,2,6,0
310,1,0,8,1,0
311,1,4,9,7,0
312,1,1,1,6,0
313,1,4,3,2,0
314,0,1,6,9,0
315,1,4,1,1,0
316,1,0,5,7,0
317,1,5,4,9,0
318,0,5,3,9,0
319,0,9,3,8,0
320,1,6,8,6,0
321,0,3,7,8,0
322,0,7,6,7,0
323,0,5,0,3,0
324,1,2,6,1,0
325,1,3,1,6,0
326,0,2,8,5,0
327,0,9,9,5,0
328,1,4,8,8,0
329,0,0,8,8,0
330,1,5,5,4,0
331,0,7,7,1,0
332,1,2,9,5,0
333,0,0,7,6,0
334,1,5,5,6,0
335,0,5,3,0,0
336,0,3,7,4,0
337,0,8,5,7,0
338,1,1,1,3,0
339,1,0,1,9,0
340,0,8,7,0,0
341,1,2,1,4,0
342,0,4,5,2,0
343,0,4,2,5,0
344,0,3,8,1,0
345,0,8,0,7,0
346,1,4,1,9,0
347,1,7,6,9,0
348,0,2,4,5,0
349,1,6,0,8,0
350,1,3,4,0,0
351,0,6,8,5,0
352,1,4,0,7,0
353,0,7,8,1,0
354,1,2,5,2,0
355,1,2,6,7,0
356,0,8,9,0,0
357,0,3,0,4,0
358,0,7,6,5,0
359,0,8,4,1,0
360,1,3,2,0,0
361,1,0,8,3,0
362,0,7,4,2,0
363,0,0,9,5,0
364,1,3,9,4,0
365,0,8,5,9,0
366,0,8,2,4,0
367,0,7,1,0,0
368,0,1,4,3,0
369,1,4,9,8,0
370,0,9,4,9,0
371,0,9,3,1,0
372,1,3,7,8,0
373,0,8,0,4,0
374,0,7,8,1,0
375,0,7,7,9,0
376,1,6,5,3,0
377,1,0,7,2,0
378,0,2,2,7,0
379,0,7,6,3,0
380,1,4,9,2,0
381,0,8,7,7,0
382,0,7,4,2,0
383,0,8,2,3,0
384,0,3,6,4,0
385,1,6,4,2,0
386,1,8,4,0,0
387,1,2,8,4,0
388,0,9,5,0,0
389,0,1,8,7,0
390,1,0,8,5,0
391,1,3,8,6,0
392,1,2,0,5,0
393,1,7,1,4,0
394,1,1,8,2,0
395,1,5,1,7,0
396,0,7,5,0,0
397,0,8,2,4,0
398,0,6,0,5,0
399,0,3,9,9,0
400,0,5,1,5,0
401,0,4,3,4,0
402,0,9,2,5,0
403,1,4,0,3,0
404,0,5,7,1,0
405,1,3,1,8,0
406,0,2,9,9,0
407,1,3,2,1,0
408,1,3,8,6,0
409,1,2,2,1,0
410,0,7,1,7,0
411,1,2,8,0,0
412,1,6,4,9,0
413,0,9,8,7,0
414,1,7,7,3,0
415,0,2,2,8,0
416,1,1,4,8,0
417,1,2,4,6,0
418,0,1,7,4,0
419,1,1,3,1,0
420,1,1,6,8,0
421,0,8,6,3,0
422,1,5,3,2,0
423,0,4,9,3,0
424,0,7,3,4,0
425,1,1,7,9,0
426,1,4,1,1,0
427,1,0,2,9,0
428,0,4,9,8,0
429,1,2,7,1,0
430,1,6,1,5,0
431,1,3,8,3,0
432,0,6,2,3,0
433,1,1,9,7,0
434,0,5,5,1,0
435,1,0,8,3,0
436,0,6,6,7,0
437,1,1,3,7,0
438,1,1,5,4,0
439,0,6,4,0,0
440,0,3,5,7,0
441,1,1,7,5,0
442,0,8,9,6,0
443,0,6,7,6,0
444,0,9,9,8,0
445,1,3,8,8,0
446,1,1,2,5,0
447,0,7,9,9,0
448,0,9,4,0,0
449,1,1,6,5,0
450,1,8,2,4,0
451,0,1,8,0,0
452,0,5,0,4,0
453,1,0,4,2,0
454,0,6,4,2,0
455,0,5,2,4,0
456,0,9,5,1,0
457,1,1,7,7,0
458,0,8,5,0,0
459,1,0,1,0,0
460,1,0,4,4,0
461,0,9,2,2,0
462,0,6,7,2,0
463,0,6,9,3,0
464,1,6,7,8,0
465,1,4,3,4,0
466,1,0,1,3,0
467,0,5,9,9,0
468,1,6,5,2,0
469,1,0,3,1,0
470,0,9,9,0,0
471,0,8,3,9,0
472,0,1,3,2,0
473,1,2,6,6,0
474,1,3,6,6,0
475,1,2,0,4,0
476,0,6,5,7,0
477,1,0,7,5,0
478,1,3,1,9,0
479,1,1,6,2,0
480,1,3,7,5,0
481,0,2,6,3,0
482,1,8,1,3,0
483,0,7,2,3,0
484,1,8,1,6,0
485,1,1,1,3,0
486,1,0,9,3,0
487,0,4,4,3,0
488,0,7,4,8,0
489,0,9,2,4,0
490,0,3,4,5,0
491,1,1,5,9,0
492,1,3,4,7,0
493,1,7,1,6,0
494,1,4,7,1,0
495,0,2,8,8,0
496,1,8,2,5,0
497,0,7,1,8,0
498,1,2,1,7,0
499,1,5,3,7,0
500,0,7,6,1,0
501,0,6,0,9,0
502,1,6,0,1,0
503,1,2,0,0,0
504,0,6,6,1,0
505,1,0,0,9,0
506,0,9,5,0,0
507,1,1,1,6,0
508,0,7,7,0,0
509,0,8,8,1,0
510,0,8,0,9,0
511,0,8,8,7,0
512,0,5,8,9,0
513,0,5,3,4,0
514,1,5,2,7,0
515,0,8,2,4,0
516,0,6,0,7,0
517,1,0,9,1,0
518,0,9,9,1,0
519,1,2,4,1,0
520,0,5,9,8,0
521,0,9,9,7,0
522,0,5,9,1,0
523,1,1,3,3,0
524,0,0,4,4,0
525,1,4,1,6,0
526,0,7,7,1,0
527,0,9,6,1,0
528,1,5,5,7,0
529,0,8,2,8,0
530,1,7,9,9,0
531,1,3,2,8,0
532,1,6,7,6,0
533,0,9,9,4,0
534,1,6,0,1,0
535,1,0,2,6,0
536,0,2,9,7,0
537,0,8,3,2,0
538,0,7,5,3,0
539,1,3,3,2,0
540,0,7,6,8,0
541,1,5,1,2,0
542,1,0,5,9,0
543,1,0,7,1,0
544,1,0,0,9,0
545,0,7,6,3,0
546,1,1,3,8,0
547,1,1,1,6,0
548,0,5,6,4,0
549,0,9,0,3,0
550,1,1,1,4,0
551,0,8,2,5,0
552,0,9,6,0,0
553,1,4,4,5,0
554,0,5,9,8,0
555,1,0,0,8,0
556,0,7,8,7,0
557,1,5,4,1,0
558,1,3,8,3,0
559,1,5,3,4,0
560,1,3,5,5,0
561,0,6,2,1,0
562,0,8,0,4,0
563,1,2,9,9,0
564,0,9,2,6,0
565,1,0,8,9,0
566,0,8,8,2,0
567,1,0,8,1,0
568,0,4,5,5,0
569,1,3,3,9,0
570,1,3,2,2,0
571,1,7,3,9,0
572,1,2,4,5,0
573,0,5,3,0,0
574,0,8,7,5,0
575,0,5,9,1,0
576,1,1,2,4,0
577,0,8,4,9,0
578,0,9,7,8,0
579,0,8,2,7,0
580,1,4,0,9,0
581,1,4,3,9,0
582,0,8,7,6,0
583,0,7,6,7,0
584,1,0,5,1,0
585,1,3,6,2,0
586,1,4,1,8,0
587,0,4,1,4,0
588,1,2,4,9,0
589,1,0,8,3,0
590,1,1,5,5,0
591,0,8,3,6,0
592,1,3,1,3,0
593,1,1,7,3,0
594,0,7,9,8,0
595,0,7,5,2,0
596,1,0,1,8,0
597,1,2,6,4,0
598,0,6,9,9,0
599,1,1,5,9,0
600,1,4,9,3,0
601,1,0,3,3,0
602,0,5,3,2,0
603,1,1,8,8,0
604,0,2,4,7,0
605,0,5,9,2,0
606,1,4,5,1,0
607,0,4,4,5,0
608,1,5,7,3,0
609,0,8,8,7,0
610,1,2,9,7,0
611,0,6,9,1,0
612,1,1,7,9,0
613,0,9,1,8,0
614,1,2,8,2,0
615,0,8,6,9,0
616,1,4,7,7,0
617,1,0,0,8,0
618,0,5,8,4,0
619,1,4,1,9,0
620,1,2,3,6,0
621,0,2,0,9,0
622,1,1,7,4,0
623,0,9,3,2,0
624,1,2,0,8,0
625,1,0,9,3,0
626,1,6,5,2,0
627,1,6,3,2,0
628,0,7,3,8,0
629,1,0,0,0,0
630,1,0,3,4,0
631,1,5,7,5,0
632,0,7,5,4,0
633,0,8,2,4,0
634,0,4,0,8,0
635,1,0,2,6,0
636,0,4,7,3,0
637,1,0,8,6,0
638,0,8,8,4,0
639,1,0,6,5,0
640,0,9,9,6,0
641,1,2,3,4,0
642,1,3,2,9,0
643,0,6,9,3,0
644,1,0,8,6,0
645,1,0,9,2,0
646,0,8,1,7,0
647,0,9,5,9,0
648,0,6,6,0,0
649,1,6,9,5,0
650,0,6,0,3,0
651,0,5,1,9,0
652,0,4,9,8,0
653,1,1,6,7,0
654,1,0,1,7,0
655,1,2,6,4,0
656,1,0,0,3,0
657,0,8,6,8,0
658,0,4,2,0,0
659,0,6,7,4,0
660,0,4,4,8,0
661,0,8,1,0,0
662,1,5,1,0,0
663,1,6,6,5,0
664,0,8,5,3,0
665,0,3,7,1,0
666,1,3,5,2,0
667,0,2,6,6,0
668,0,7,2,7,0
669,0,7,5,3,0
670,1,4,9,6,0
671,0,9,2,5,0
672,0,9,1,1,0
673,0,9,6,6,0
674,1,5,8,3,0
675,0,8,5,0,0
676,0,9,1,0,0
677,0,6,3,1,0
678,1,1,8,8,0
679,1,8,2,9,0
680,1,2,7,1,0
681,1,7,4,6,0
682,0,9,8,5,0
683,0,6,4,9,0
684,0,3,8,2,0
685,0,8,0,8,0
686,0,9,6,7,0
687,0,7,5,9,0
688,0,8,0,4,0
689,1,3,8,9,0
690,1,7,7,9,0
691,1,0,8,6,0
692,1,0,3,1,0
693,1,1,1,9,0
694,0,7,4,0,0
695,1,1,4,9,0
696,1,4,4,2,0
697,1,1,5,8,0
698,1,7,2,3,0
699,0,7,4,3,0
700,1,1,6,9,0
701,1,2,0,1,0
702,0,6,2,5,0
703,1,4,1,2,0
704,1,6,7,3,0
705,0,7,0,9,0
706,0,7,0,3,0
707,0,6,5,9,0
708,0,8,5,2,0
709,0,5,7,6,0
710,0,3,9,5,0
711,1,0,0,0,0
712,1,1,2,9,0
713,0,3,4,5,0
714,1,3,5,9,0
715,0,4,7,5,0
716,1,6,8,2,0
717,1,4,8,8,0
718,1,0,0,0,0
719,0,9,6,7,0
720,0,7,5,5,0
721,0,5,4,6,0
722,1,1,8,4,0
723,0,6,2,5,0
724,1,2,8,4,0
725,1,3,7,1,0
726,0,5,1,7,0
727,1,8,0,1,0
728,0,9,6,0,0
729,1,1,8,0,0
730,1,2,1,3,0
731,0,6,2,2,0
732,1,2,5,8,0
733,1,4,6,1,0
734,0,6,5,1,0
735,0,9,0,3,0
736,0,6,5,7,0
737,1,3,5,0,0
738,0,5,0,5,0
739,0,9,0,7,0
740,0,6,0,4,0
741,0,4,4,4,0
742,0,4,0,9,0
743,0,0,5,2,0
744,1,4,7,9,0
745,0,7,8,2,0
746,1,1,6,8,0
747,0,8,4,7,0
748,1,3,8,7,0
749,0,9,8,9,0
750,0,6,8,7,0
751,0,9,2,8,0
752,1,0,8,9,0
753,0,6,4,7,0
754,0,5,6,4,0
755,1,3,9,6,0
756,0,2,8,3,0
757,1,2,5,4,0
758,1,7,3,9,0
759,1,3,8,1,0
760,0,7,1,7,0
761,0,9,6,9,0
762,0,4,1,3,0
763,1,4,8,8,0
764,1,2,8,0,0
765,1,2,1,2,0
766,1,3,5,6,0
767,1,1,9,2,0
768,0,9,1,9,0
769,0,6,9,7,0
770,0,9,9,8,0
771,1,0,6,5,0
772,1,6,2,5,0
773,1,0,4,6,0
774,1,3,2,0,0
775,0,9,6,5,0
776,0,6,7,0,0
777,1,0,5,1,0
778,1,6,9,9,0
779,0,5,6,3,0
780,1,3,0,9,0
781,1,4,5,1,0
782,0,8,4,4,0
783,0,9,7,4,0
784,1,0,8,8,0
785,1,2,2,4,0
786,1,0,2,8,0
787,0,9,9,9,0
788,0,4,7,4,0
789,1,2,0,2,0
790,0,6,3,1,0
791,1,2,9,5,0
792,1,1,2,0,0
793,0,5,2,3,0
794,1,1,2,2,0
795,0,6,2,0,0
796,1,1,3,1,0
797,1,2,3,4,0
798,0,3,1,2,0
799,0,4,5,2,0
800,0,5,8,4,0
801,1,0,8,3,0
802,1,0,1,2,0
803,1,2,4,4,0
804,1,0,7,1,0
805,1,3,1,0,0
806,0,7,4,3,0
807,0,8,1,2,0
808,0,6,9,0,0
809,0,1,9,7,0
810,0,5,5,1,0
811,1,0,4,8,0
812,0,2,2,3,0
813,0,4,8,8,0
814,0,9,9,0,0
815,1,4,0,3,0
816,1,1,0,4,0
817,1,0,6,2,0
818,0,6,7,5,0
819,0,9,0,2,0
820,1,4,3,9,0
821,0,7,3,2,0
822,0,4,4,6,0
823,1,1,4,9,0
824,1,1,1,2,0
825,0,7,4,7,0
826,1,1,3,3,0
827,0,2,6,5,0
828,0,8,6,4,0
829,0,7,5,0,0
830,0,6,8,5,0
831,1,5,7,2,0
832,0,8,6,6,0
833,1,3,4,0,0
834,1,8,7,9,0
835,0,5,4,9,0
836,0,0,3,0,0
837,1,2,3,0,0
838,1,0,6,3,0
839,0,4,9,5,0
840,1,0,2,4,0
841,1,2,6,1,0
842,1,0,7,7,0
843,0,4,6,1,0
844,0,8,0,9,0
845,0,8,8,8,0
846,0,9,4,7,0
847,0,5,4,8,0
848,1,1,4,3,0
849,1,3,3,9,0
850,0,9,7,3,0
851,1,0,6,7,0
852,1,1,2,2,0
853,1,1,8,0,0
854,1,3,8,3,0
855,0,7,7,7,0
856,0,1,6,0,0
857,1,1,9,5,0
858,0,3,9,9,0
859,1,2,2,9,0
860,0,9,9,9,0
861,0,9,5,6,0
862,1,3,8,2,0
863,0,3,1,1,0
864,1,4,0,8,0
865,1,2,7,4,0
866,0,7,4,4,0
867,0,9,4,6,0
868,0,6,7,0,0
869,1,0,7,2,0
870,1,3,3,3,0
871,1,3,6,0,0
872,1,1,0,6,0
873,0,5,5,7,0
874,1,0,0,4,0
875,0,6,9,9,0
876,1,3,2,8,0
877,1,0,1,0,0
878,1,0,3,0,0
879,1,2,0,1,0
880,1,0,3,0,0
881,1,0,6,3,0
882,1,4,4,8,0
883,0,8,7,7,0
884,1,8,8,2,0
885,1,0,5,8,0
886,0,6,5,2,0
887,1,4,6,6,0
888,1,1,2,1,0
889,1,0,3,8,0
890,0,3,6,0,0
891,0,8,0,5,0
892,1,3,8,4,0
893,0,2,8,3,0
894,1,5,2,3,0
895,1,0,0,1,0
896,1,5,3,5,0
897,1,2,1,4,0
898,1,3,7,4,0
899,1,4,6,8,0
900,0,9,7,6,0
901,0,9,1,4,0
902,0,3,0,7,0
903,1,0,6,4,0
904,0,7,2,1,0
905,0,7,4,1,0
906,0,1,1,3,0
907,1,3,5,6,0
908,0,8,7,6,0
909,0,6,5,2,0
910,1,1,1,3,0
911,0,4,2,3,0
912,0,3,7,1,0
913,0,8,2,3,0
914,0,9,7,3,0
915,0,7,1,1,0
916,1,0,6,3,0
917,1,3,9,3,0
918,1,6,9,2,0
919,1,4,6,2,0
920,1,8,1,9,0
921,1,1,3,5,0
922,1,1,3,1,0
923,0,5,4,8,0
924,0,6,9,8,0
925,0,9,5,8,0
926,0,9,0,9,0
927,1,1,8,6,0
928,0,8,2,7,0
929,1,0,3,5,0
930,1,0,2,4,0
931,1,0,1,6,0
932,1,6,7,5,0
933,0,9,4,8,0
934,0,9,1,1,0
935,1,1,8,3,0
936,0,3,1,6,0
937,0,5,8,1,0
938,1,7,3,2,0
939,1,0,1,6,0
940,0,7,7,6,0
941,0,5,4,4,0
942,1,2,4,1,0
943,1,1,2,3,0
944,1,7,2,5,0
945,1,4,2,3,0
946,1,0,8,0,0
947,0,7,9,0,0
948,0,8,1,2,0
949,0,8,4,1,0
950,0,9,7,2,0
951,0,8,6,8,0
952,0,6,1,7,0
953,0,9,4,2,0
954,0,7,4,8,0
955,1,6,6,2,0
956,1,1,9,3,0
957,0,9,8,1,0
958,0,9,4,6,0
959,0,2,8,4,0
960,1,2,6,2,0
961,0,5,7,3,0
962,0,9,8,4,0
963,1,0,8,0,0
964,1,1,4,0,0
965,1,5,0,9,0
966,0,7,5,1,0
967,1,1,1,7,0
968,1,5,2,2,0
969,1,1,8,2,0
970,1,3,0,9,0
971,1,0,9,1,0
972,0,7,4,2,0
973,0,6,1,1,0
974,1,2,0,5,0
975,0,6,0,7,0
976,0,7,9,9,0
977,0,9,3,5,0
978,1,1,7,1,0
979,0,6,7,4,0
980,1,4,6,4,0
981,1,0,4,3,0
982,1,5,1,6,0
983,1,5,8,6,0
984,1,8,5,7,0
985,0,9,2,5,0
986,1,0,1,0,0
987,0,7,1,8,0
988,1,1,2,4,0
989,1,5,1,1,0
990,0,4,1,7,0
991,0,3,2,1,0
992,0,5,2,1,0
993,1,6,5,1,0
994,0,7,5,4,0
995,1,6,3,8,0
996,0,8,8,5,0
997,0,8,1,0,0
998,1,3,1,0,0
999,1,0,9,9,0
1000,1,1,6,8,0
1001,0,5,0,3,0
1002,0,8,7,2,0
1003,1,7,3,8,0
1004,1,3,4,9,0
1005,0,6,5,1,0
1006,0,2,7,8,0
1007,1,0,2,9,0
1008,0,4,3,7,0
1009,1,7,4,1,0
1010,1,7,7,6,0
1011,1,0,6,2,0
1012,1,2,6,7,0
1013,1,4,9,4,0
1014,0,9,9,6,0
1015,0,3,5,7,0
1016,1,5,2,8,0
1017,0,4,1,6,0
1018,0,9,2,6,0
1019,0,6,7,9,0
1020,1,3,9,8,0
1021,0,3,1,8,0
1022,1,1,0,5,0
1023,1,4,8,9,0
1024,1,3,6,9,0
1025,0,9,4,1,0
1026,1,1,9,4,0
1027,1,4,6,9,0
1028,1,6,3,0,0
1029,1,2,7,9,0
1030,0,9,6,2,0
1031,1,6,6,8,0
1032,0,3,6,8,0
1033,0,9,3,7,0
1034,0,8,0,7,0
1035,0,9,8,5,0
1036,1,6,6,7,0
1037,0,9,3,0,0
1038,1,1,8,1,0
1039,0,4,4,7,0
1040,0,7,6,3,0
1041,0,2,1,5,0
1042,1,0,6,0,0
1043,0,6,9,6,0
1044,0,9,2,0,0
1045,0,5,3,6,0
1046,1,6,2,4,0
1047,0,6,8,7,0
1048,0,4,9,1,0
1049,0,6,4,1,0
1050,1,3,1,2,0
1051,1,5,0,4,0
1052,1,5,1,5,0
1053,0,5,2,9,0
1054,1,3,1,8,0
1055,0,5,0,4,0
1056,1,2,5,2,0
1057,1,4,7,1,0
1058,1,5,2,0,0
1059,0,8,1,1,0
1060,0,5,1,8,0
1061,0,8,7,5,0
1062,1,3,6,5,0
1063,1,0,1,5,0
1064,1,6,4,2,0
1065,1,1,6,0,0
1066,0,7,7,4,0
1067,0,9,3,5,0
1068,0,5,2,2,0
1069,1,0,1,2,0
1070,1,0,5,6,0
1071,1,4,7,3,0
1072,1,0,8,1,0
1073,1,0,9,1,0
1074,1,1,5,4,0
1075,1,0,5,1,0
1076,0,9,4,5,0
1077,0,2,5,0,0
1078,0,4,5,1,0
1079,1,5,6,4,0
1080,1,2,5,3,0
1081,0,6,9,7,0
1082,1,2,7,8,0
1083,1,4,8,3,0
1084,1,1,2,2,0
1085,0,9,9,8,0
1086,1,6,0,3,0
1087,1,3,2,6,0
1088,0,8,0,3,0
1089,0,6,7,1,0
1090,1,4,2,7,0
1091,0,9,0,5,0
1092,1,1,4,2,0
1093,0,5,6,1,0
1094,0,9,6,9,0
1095,1,2,1,6,0
1096,1,5,9,3,0
1097,1,2,0,5,0
1098,1,0,0,5,0
1099,1,8,1,8,0
1100,1,8,7,9,0
1101,0,9,6,9,0
1102,1,0,3,6,0
1103,0,5,5,9,0
1104,0,6,5,6,0
1105,0,7,2,2,0
1106,1,7,1,0,0
1107,1,3,8,1,0
1108,1,2,6,5,0
1109,0,9,4,0,0
1110,0,2,9,9,0
1111,0,3,0,7,0
1112,1,8,0,5,0
1113,0,7,4,1,0
1114,1,3,6,2,0
1115,1,3,5,7,0
1116,0,9,3,4,0
1117,1,4,3,7,0
1118,0,7,1,9,0
1119,0,9,0,3,0
1120,0,2,1,3,0
1121,0,7,8,1,0
1122,0,5,4,5,0
1123,0,7,8,2,0
1124,1,1,5,0,0
1125,1,0,0,7,0
1126,1,6,8,2,0
1127,1,1,7,4,0
1128,0,4,1,4,0
1129,0,6,7,7,0
1130,0,7,8,0,0
1131,0,7,1,7,0
1132,0,9,6,7,0
1133,1,1,0,8,0
1134,0,8,6,4,0
1135,1,5,4,6,0
1136,1,0,7,3,0
1137,0,9,6,0,0
1138,1,0,8,6,0
1139,0,9,2,5,0
1140,1,6,9,5,0
1141,1,9,2,0,0
1142,1,1,4,6,0
1143,0,3,1,9,0
1144,1,5,5,6,0
1145,1,6,2,7,0
1146,1,0,6,4,0
1147,1,1,9,7,0
1148,1,1,7,7,0
